first_name,last_name,address,date_of_birth
Lawrence,Herman,"161 Spencer Via, West Williambury, CO 80748",1929-10-23
Jared,Wright,"565 Michael Knolls, Ingramchester, CO 23223",1939-07-01
Heather,Walker,"59793 Caleb Island, Nancyberg, GU 17326",1954-07-16
Joanne,Wallace,"419 Palmer Light, North Stephenmouth, NY 09455",1973-03-16
Roberto,Gilbert,"PSC 2742, Box 1671, APO AP 92395",1941-07-16
Gregory,Morgan,"27321 Nicholas Burgs Apt. 783, Lake Jessica, VT 47953",1937-03-24
Christian,Scott,"998 Garrett Prairie Suite 548, Alexandriaside, UT 81508",1947-06-14
Jennifer,Collins,"558 Christopher Hill Apt. 144, East Robert, GU 01267",2015-09-09
Priscilla,Gutierrez,"76826 Parks Locks Apt. 334, Heiditon, MP 34987",1962-04-30
Betty,Walker,"2649 Autumn Valleys, Audreyview, WY 42052",2011-06-05
